"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2003","2003",,,"0","Units",,,33.9,,
"AUT","Austria","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2004","2004",,,"0","Units",,,33.9,,
"AUT","Austria","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2005","2005",,,"0","Units",,,33.9,,
"AUT","Austria","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2006","2006",,,"0","Units",,,32.2,,
"AUT","Austria","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2007","2007",,,"0","Units",,,32.8,,
"AUT","Austria","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2009","2009",,,"0","Units",,,27.9,,
"AUT","Austria","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2010","2010",,,"0","Units",,,27.9,,
"AUT","Austria","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2011","2011",,,"0","Units",,,27.9,,
"AUT","Austria","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2012","2012",,,"0","Units",,,27.9,,
"AUT","Austria","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2013","2013",,,"0","Units",,,33.3,,
"BEL","Belgium","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2000","2000",,,"0","Units",,,23.3,,
"BEL","Belgium","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2001","2001",,,"0","Units",,,23.3,,
"BEL","Belgium","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2002","2002",,,"0","Units",,,23.3,,
"BEL","Belgium","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2003","2003",,,"0","Units",,,35.3,,
"BEL","Belgium","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2004","2004",,,"0","Units",,,34.7,,
"BEL","Belgium","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2005","2005",,,"0","Units",,,34.7,,
"BEL","Belgium","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2006","2006",,,"0","Units",,,34.7,,
"BEL","Belgium","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2007","2007",,,"0","Units",,,35.3,,
"BEL","Belgium","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2008","2008",,,"0","Units",,,35.3,,
"BEL","Belgium","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2009","2009",,,"0","Units",,,38,,
"BEL","Belgium","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2010","2010",,,"0","Units",,,39.3,,
"BEL","Belgium","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2011","2011",,,"0","Units",,,38,,
"BEL","Belgium","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2012","2012",,,"0","Units",,,38,,
"BEL","Belgium","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2013","2013",,,"0","Units",,,38,,
"CAN","Canada","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2001","2001",,,"0","Units",,,20.6,,
"CAN","Canada","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2002","2002",,,"0","Units",,,20.6,,
"CAN","Canada","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2003","2003",,,"0","Units",,,20.6,,
"CAN","Canada","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2004","2004",,,"0","Units",,,21.1,,
"CAN","Canada","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2005","2005",,,"0","Units",,,21.1,,
"CAN","Canada","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2006","2006",,,"0","Units",,,20.8,,
"CAN","Canada","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2007","2007",,,"0","Units",,,21.3,,
"CAN","Canada","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2008","2008",,,"0","Units",,,22.1,,
"CAN","Canada","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2009","2009",,,"0","Units",,,22.1,,
"CAN","Canada","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2010","2010",,,"0","Units",,,22.1,,
"CAN","Canada","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2011","2011",,,"0","Units",,,24.8,,
"CAN","Canada","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2012","2012",,,"0","Units",,,24.7,,
"CAN","Canada","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2013","2013",,,"0","Units",,,24.7,,
"CZE","Czech Republic","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2000","2000",,,"0","Units",,,15,,
"CZE","Czech Republic","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2001","2001",,,"0","Units",,,15,,
"CZE","Czech Republic","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2002","2002",,,"0","Units",,,17,,
"CZE","Czech Republic","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2003","2003",,,"0","Units",,,17,,
"CZE","Czech Republic","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2004","2004",,,"0","Units",,,17,,
"CZE","Czech Republic","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2005","2005",,,"0","Units",,,17,,
"CZE","Czech Republic","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2006","2006",,,"0","Units",,,15.5,,
"CZE","Czech Republic","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2007","2007",,,"0","Units",,,15.5,,
"CZE","Czech Republic","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2008","2008",,,"0","Units",,,15.5,,
"CZE","Czech Republic","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2009","2009",,,"0","Units",,,15.5,,
"CZE","Czech Republic","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2010","2010",,,"0","Units",,,22,,
"CZE","Czech Republic","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2011","2011",,,"0","Units",,,22,,
"CZE","Czech Republic","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2012","2012",,,"0","Units",,,22,,
"CZE","Czech Republic","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2013","2013",,,"0","Units",,,19.5,,
"DNK","Denmark","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2000","2000",,,"0","Units",,,37.4,,
"DNK","Denmark","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2002","2002",,,"0","Units",,,38,,
"DNK","Denmark","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2003","2003",,,"0","Units",,,38,,
"DNK","Denmark","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2004","2004",,,"0","Units",,,38,,
"DNK","Denmark","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2005","2005",,,"0","Units",,,36.9,,
"DNK","Denmark","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2006","2006",,,"0","Units",,,36.9,,
"DNK","Denmark","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2007","2007",,,"0","Units",,,38,,
"DNK","Denmark","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2008","2008",,,"0","Units",,,38,,
"DNK","Denmark","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2009","2009",,,"0","Units",,,38,,
"DNK","Denmark","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2010","2010",,,"0","Units",,,38,,
"DNK","Denmark","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2011","2011",,,"0","Units",,,39.1,,
"DNK","Denmark","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2012","2012",,,"0","Units",,,39.1,,
"DNK","Denmark","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2013","2013",,,"0","Units",,,39.1,,
"FIN","Finland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2000","2000",,,"0","Units",,,36.5,,
"FIN","Finland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2001","2001",,,"0","Units",,,36.5,,
"FIN","Finland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2002","2002",,,"0","Units",,,36.5,,
"FIN","Finland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2003","2003",,,"0","Units",,,37.5,,
"FIN","Finland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2004","2004",,,"0","Units",,,37.5,,
"FIN","Finland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2005","2005",,,"0","Units",,,37.5,,
"FIN","Finland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2006","2006",,,"0","Units",,,38,,
"FIN","Finland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2007","2007",,,"0","Units",,,41.5,,
"FIN","Finland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2008","2008",,,"0","Units",,,41.5,,
"FIN","Finland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2009","2009",,,"0","Units",,,40,,
"FIN","Finland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2010","2010",,,"0","Units",,,40,,
"FIN","Finland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2011","2011",,,"0","Units",,,42.5,,
"FIN","Finland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2012","2012",,,"0","Units",,,42.5,,
"FIN","Finland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2013","2013",,,"0","Units",,,42.5,,
"FRA","France","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2000","2000",,,"0","Units",,,10.9,,
"FRA","France","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2001","2001",,,"0","Units",,,10.9,,
"FRA","France","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2002","2002",,,"0","Units",,,12.1,,
"FRA","France","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2003","2003",,,"0","Units",,,12.2,,
"FRA","France","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2004","2004",,,"0","Units",,,12.2,,
"FRA","France","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2005","2005",,,"0","Units",,,12.2,,
"FRA","France","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2006","2006",,,"0","Units",,,12.2,,
"FRA","France","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2007","2007",,,"0","Units",,,18.2,,
"FRA","France","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2008","2008",,,"0","Units",,,18.2,,
"FRA","France","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2009","2009",,,"0","Units",,,18.9,,
"FRA","France","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2010","2010",,,"0","Units",,,18.9,,
"FRA","France","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2011","2011",,,"0","Units",,,18.9,,
"FRA","France","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2012","2012",,,"0","Units",,,26.9,,
"FRA","France","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2013","2013",,,"0","Units",,,26.9,,
"DEU","Germany","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2000","2000",,,"0","Units",,,30.9,,
"DEU","Germany","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2001","2001",,,"0","Units",,,31.1,,
"DEU","Germany","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2002","2002",,,"0","Units",,,32.2,,
"DEU","Germany","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2003","2003",,,"0","Units",,,32.2,,
"DEU","Germany","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2004","2004",,,"0","Units",,,32.8,,
"DEU","Germany","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2005","2005",,,"0","Units",,,31.8,,
"DEU","Germany","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2006","2006",,,"0","Units",,,31.6,,
"DEU","Germany","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2007","2007",,,"0","Units",,,31.6,,
"DEU","Germany","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2008","2008",,,"0","Units",,,32.2,,
"DEU","Germany","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2009","2009",,,"0","Units",,,32.8,,
"DEU","Germany","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2010","2010",,,"0","Units",,,32.8,,
"DEU","Germany","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2011","2011",,,"0","Units",,,32.9,,
"DEU","Germany","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2012","2012",,,"0","Units",,,32.9,,
"DEU","Germany","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2013","2013",,,"0","Units",,,36.5,,
"GRC","Greece","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2000","2000",,,"0","Units",,,8.7,,
"GRC","Greece","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2001","2001",,,"0","Units",,,8.7,,
"GRC","Greece","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2002","2002",,,"0","Units",,,8.7,,
"GRC","Greece","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2003","2003",,,"0","Units",,,8.7,,
"GRC","Greece","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2004","2004",,,"0","Units",,,14,,
"GRC","Greece","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2005","2005",,,"0","Units",,,13,,
"GRC","Greece","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2006","2006",,,"0","Units",,,13,,
"GRC","Greece","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2007","2007",,,"0","Units",,,14.7,,
"GRC","Greece","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2008","2008",,,"0","Units",,,14.7,,
"GRC","Greece","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2009","2009",,,"0","Units",,,17.3,,
"GRC","Greece","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2010","2010",,,"0","Units",,,17.3,,
"GRC","Greece","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2011","2011",,,"0","Units",,,18.7,,
"GRC","Greece","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2012","2012",,,"0","Units",,,21,,
"GRC","Greece","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2013","2013",,,"0","Units",,,21,,
"HUN","Hungary","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2000","2000",,,"0","Units",,,8.3,,
"HUN","Hungary","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2001","2001",,,"0","Units",,,8.3,,
"HUN","Hungary","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2002","2002",,,"0","Units",,,9.1,,
"HUN","Hungary","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2003","2003",,,"0","Units",,,9.8,,
"HUN","Hungary","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2004","2004",,,"0","Units",,,9.1,,
"HUN","Hungary","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2005","2005",,,"0","Units",,,9.1,,
"HUN","Hungary","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2006","2006",,,"0","Units",,,10.4,,
"HUN","Hungary","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2007","2007",,,"0","Units",,,11.1,,
"HUN","Hungary","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2008","2008",,,"0","Units",,,11.1,,
"HUN","Hungary","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2009","2009",,,"0","Units",,,11.1,,
"HUN","Hungary","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2010","2010",,,"0","Units",,,9.1,,
"HUN","Hungary","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2011","2011",,,"0","Units",,,8.8,,
"HUN","Hungary","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2012","2012",,,"0","Units",,,8.8,,
"HUN","Hungary","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2013","2013",,,"0","Units",,,8.8,,
"ISL","Iceland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2000","2000",,,"0","Units",,,34.9,,
"ISL","Iceland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2001","2001",,,"0","Units",,,34.9,,
"ISL","Iceland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2002","2002",,,"0","Units",,,34.9,,
"ISL","Iceland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2003","2003",,,"0","Units",,,30.2,,
"ISL","Iceland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2004","2004",,,"0","Units",,,30.2,,
"ISL","Iceland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2005","2005",,,"0","Units",,,33.3,,
"ISL","Iceland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2006","2006",,,"0","Units",,,33.3,,
"ISL","Iceland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2007","2007",,,"0","Units",,,33.3,,
"ISL","Iceland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2008","2008",,,"0","Units",,,33.3,,
"ISL","Iceland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2009","2009",,,"0","Units",,,42.9,,
"ISL","Iceland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2010","2010",,,"0","Units",,,42.9,,
"ISL","Iceland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2011","2011",,,"0","Units",,,39.7,,
"ISL","Iceland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2012","2012",,,"0","Units",,,39.7,,
"ISL","Iceland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2013","2013",,,"0","Units",,,39.7,,
"IRL","Ireland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2000","2000",,,"0","Units",,,12,,
"IRL","Ireland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2001","2001",,,"0","Units",,,12,,
"IRL","Ireland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2002","2002",,,"0","Units",,,13.3,,
"IRL","Ireland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2003","2003",,,"0","Units",,,13.3,,
"IRL","Ireland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2004","2004",,,"0","Units",,,13.3,,
"IRL","Ireland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2005","2005",,,"0","Units",,,13.3,,
"IRL","Ireland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2006","2006",,,"0","Units",,,13.3,,
"IRL","Ireland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2007","2007",,,"0","Units",,,13.3,,
"IRL","Ireland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2008","2008",,,"0","Units",,,13.3,,
"IRL","Ireland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2009","2009",,,"0","Units",,,13.9,,
"IRL","Ireland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2010","2010",,,"0","Units",,,13.9,,
"IRL","Ireland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2011","2011",,,"0","Units",,,15.1,,
"IRL","Ireland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2012","2012",,,"0","Units",,,15.1,,
"IRL","Ireland","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2013","2013",,,"0","Units",,,15.7,,
"ITA","Italy","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2000","2000",,,"0","Units",,,11.1,,
"ITA","Italy","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2001","2001",,,"0","Units",,,9.8,,
"ITA","Italy","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2002","2002",,,"0","Units",,,9.8,,
"ITA","Italy","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2003","2003",,,"0","Units",,,11.5,,
"ITA","Italy","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2004","2004",,,"0","Units",,,11.5,,
"ITA","Italy","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2005","2005",,,"0","Units",,,11.5,,
"ITA","Italy","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2006","2006",,,"0","Units",,,17.3,,
"ITA","Italy","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2007","2007",,,"0","Units",,,17.3,,
"ITA","Italy","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2008","2008",,,"0","Units",,,21.3,,
"ITA","Italy","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2009","2009",,,"0","Units",,,21.3,,
"ITA","Italy","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2010","2010",,,"0","Units",,,21.3,,
"ITA","Italy","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2011","2011",,,"0","Units",,,21.6,,
"ITA","Italy","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2012","2012",,,"0","Units",,,21.4,,
"ITA","Italy","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2013","2013",,,"0","Units",,,31.4,,
"JPN","Japan","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2000","2000",,,"0","Units",,,7.3,,
"JPN","Japan","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2001","2001",,,"0","Units",,,7.3,,
"JPN","Japan","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2002","2002",,,"0","Units",,,7.3,,
"JPN","Japan","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2003","2003",,,"0","Units",,,7.1,,
"JPN","Japan","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2004","2004",,,"0","Units",,,7.1,,
"JPN","Japan","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2005","2005",,,"0","Units",,,9,,
"JPN","Japan","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2006","2006",,,"0","Units",,,9.4,,
"JPN","Japan","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2007","2007",,,"0","Units",,,9.4,,
"JPN","Japan","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2008","2008",,,"0","Units",,,9.4,,
"JPN","Japan","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2009","2009",,,"0","Units",,,11.3,,
"JPN","Japan","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2010","2010",,,"0","Units",,,11.3,,
"JPN","Japan","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2011","2011",,,"0","Units",,,10.8,,
"JPN","Japan","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2012","2012",,,"0","Units",,,7.9,,
"JPN","Japan","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2013","2013",,,"0","Units",,,8.1,,
