Occupation,Category,Men Employed,Women Employed,Percentage of women in occupational group,Men Median Earnings,Women Median Earnings,Women's earnings as a percentage of men's earnings
Agricultural and food scientists,STEM Occupations,"20,054","12,322",38.1,"76,256","69,856",91.6
Biological scientists,STEM Occupations,"46,388","47,335",50.5,"67,687","68,603",101.4
Conservation scientists and foresters,STEM Occupations,"17,047","6,866",28.7,"65,489","58,470",89.3
Medical scientists,STEM Occupations,"59,716","77,367",56.4,"81,831","73,907",90.3
"Life scientists, all other",STEM Occupations,"3,997","3,108",43.7,"83,521","62,232",(X)
Astronomers and physicists,STEM Occupations,"13,025","1,872",12.6,"121,691","72,245",(X)
Atmospheric and space scientists,STEM Occupations,"7,635","3,115",29.0,"90,894","58,781",(X)
Chemists and materials scientists,STEM Occupations,"62,385","48,736",43.9,"85,197","66,645",78.2
"Environmental scientists and specialists, including health",STEM Occupations,"22,908","16,098",41.3,"70,862","63,309",89.3
"Geoscientists and hydrologists, except geographers",STEM Occupations,"35,691","12,543",26.0,"93,523","90,643",96.9
"Physical scientists, all other",STEM Occupations,"179,021","141,977",44.2,"92,369","76,748",83.1
Economists,STEM Occupations,"19,619","10,956",35.8,"122,372","102,443",83.7
Survey researchers,STEM Occupations,"1,492","1,476",49.7,"76,322","58,285",(X)
Clinical and counseling psychologists,STEM Occupations,"6,370","16,948",72.7,"100,441","96,079",(X)
School psychologists,STEM Occupations,"7,450","41,373",84.7,"80,856","70,524",(X)
Other psychologists,STEM Occupations,"46,009","115,658",71.5,"98,820","80,629",81.6
Sociologists,STEM Occupations,"1,725","2,683",60.9,"76,241","87,539",(X)
Urban and regional planners,STEM Occupations,"22,435","16,465",42.3,"78,409","79,918",101.9
...Miscellaneous social scientists and related workers,STEM Occupations,"22,743","22,088",49.3,"74,452","67,575",90.8
...Agricultural and food science technicians,STEM Occupations,"25,944","17,450",40.2,"52,062","46,020",88.4
...Biological technicians,STEM Occupations,"13,386","14,297",51.6,"52,030","50,278",96.6
...Chemical technicians,STEM Occupations,"44,094","25,678",36.8,"56,613","50,723",89.6
...Environmental science and geoscience technicians,STEM Occupations,"13,276","6,108",31.5,"65,797","54,883",(X)
...Nuclear technicians,STEM Occupations,"2,508","1,181",32.0,"100,736","36,815",(X)
...Social science research assistants,STEM Occupations,"3,626","5,812",61.6,"57,742","51,324",(X)
"...Other life, physical, and social science technicians",STEM Occupations,"107,705","114,142",51.5,"49,080","43,812",89.3
.Total STEM-related Occupations:,General,"2,802,011","7,873,582",73.8,"85,860","62,940",73.3
"...Architects, except landscape and naval",STEM-related Occupations:,"149,406","55,477",27.1,"92,818","72,021",77.6
...Landscape architects,STEM-related Occupations:,"20,914","12,437",37.3,"71,685","61,693",86.1
...Health services managers,STEM-related Occupations:,"188,027","492,245",72.4,"88,871","71,282",80.2
...Chiropractors,STEM-related Occupations:,"47,529","18,909",28.5,"80,030","62,315",77.9
...Dentists,STEM-related Occupations:,"119,728","58,809",32.9,"167,574","140,040",83.6
...Dietitians and nutritionists,STEM-related Occupations:,"9,384","94,875",91.0,"56,615","53,875",95.2
...Optometrists,STEM-related Occupations:,"24,859","21,614",46.5,"131,284","108,797",82.9
...Pharmacists,STEM-related Occupations:,"139,371","196,724",58.5,"128,130","121,218",94.6
...Emergency medicine physicians,STEM-related Occupations:,"13,357","6,666",33.3,"250,000","239,068",(Z)
...Radiologists,STEM-related Occupations:,"16,584","6,188",27.2,"250,000","250,000",(Z)
...Other physicians,STEM-related Occupations:,"524,089","347,477",39.9,"250,000","185,183",(Z)
...Surgeons,STEM-related Occupations:,"44,467","10,079",18.5,"250,000","222,197",(Z)
...Physician assistants,STEM-related Occupations:,"44,826","96,782",68.3,"121,816","105,676",86.8
...Podiatrists,STEM-related Occupations:,"7,982","3,012",27.4,"150,911","135,035",(X)
...Audiologists,STEM-related Occupations:,"3,457","16,218",82.4,"99,122","80,849",(X)
...Occupational therapists,STEM-related Occupations:,"12,797","123,117",90.6,"79,798","72,121",90.4
...Physical therapists,STEM-related Occupations:,"89,560","181,168",66.9,"85,977","77,337",90.0
...Radiation therapists,STEM-related Occupations:,"4,614","10,447",69.4,"80,623","77,526",(X)
...Recreational therapists,STEM-related Occupations:,"3,083","12,868",80.7,"35,641","36,406",(X)
...Respiratory therapists,STEM-related Occupations:,"40,183","78,116",66.0,"65,518","58,067",88.6
...Speech-language pathologists,STEM-related Occupations:,"7,715","170,281",95.7,"71,411","66,741",(X)
...Exercise physiologists,STEM-related Occupations:,"2,833","4,807",62.9,"47,076","42,457",(X)
"...Therapists, all other",STEM-related Occupations:,"36,646","150,647",80.4,"53,832","51,628",95.9
...Veterinarians,STEM-related Occupations:,"32,192","61,977",65.8,"121,405","95,460",78.6
...Registered nurses,STEM-related Occupations:,"397,184","2,964,396",88.2,"73,603","68,509",93.1
...Nurse anesthetists,STEM-related Occupations:,"16,372","24,838",60.3,"182,499","171,149",93.8
...Nurse midwives,STEM-related Occupations:,0,"6,308",100.0,-,"106,529",(X)
...Nurse practitioners,STEM-related Occupations:,"22,431","190,725",89.5,"113,546","103,312",91.0
...Acupuncturists,STEM-related Occupations:,"7,548","14,395",65.6,"56,868","51,463",(X)
"...Healthcare diagnosing or treating practitioners, all other",STEM-related Occupations:,"2,788","7,207",72.1,"15,044","49,186",(X)
...Clinical laboratory technicians,STEM-related Occupations:,"89,377","242,911",73.1,"48,452","46,840",96.7
...Dental hygienists,STEM-related Occupations:,"10,070","192,311",95.0,"73,379","60,287",(X)
...Cardiovascular technologists and technicians,STEM-related Occupations:,"19,295","29,669",60.6,"66,510","50,686",76.2
...Diagnostic medical sonographers,STEM-related Occupations:,"19,795","75,024",79.1,"85,815","67,244",78.4
...Radiologic technicians,STEM-related Occupations:,"66,377","146,753",68.9,"62,255","54,238",87.1
...Magnetic resonance imaging technologists,STEM-related Occupations:,"22,426","24,885",52.6,"78,467","66,369",84.6
...Nuclear medicine technologists and medical dosimetrists,STEM-related Occupations:,"12,432","14,250",53.4,"90,113","95,376",105.8
...Emergency medical technicians,STEM-related Occupations:,"79,700","53,637",40.2,"37,011","35,979",97.2
...Paramedics,STEM-related Occupations:,"74,831","32,802",30.5,"59,454","52,038",87.5
...Pharmacy technicians,STEM-related Occupations:,"87,577","290,430",76.8,"36,409","32,655",89.7
...Psychiatric technicians,STEM-related Occupations:,"27,107","61,279",69.3,"34,830","33,194",95.3
...Surgical technologists,STEM-related Occupations:,"28,632","81,295",74.0,"50,890","42,475",83.5
...Veterinary technologists and technicians,STEM-related Occupations:,"18,083","129,474",87.7,"32,454","31,523",97.1
...Dietetic technicians and ophthalmic medical technicians,STEM-related Occupations:,"11,370","49,713",81.4,"27,235","29,511",(X)
…Licensed vocational nurses,STEM-related Occupations:,"81,438","626,526",88.5,"47,859","41,851",87.4
...Medical records specialists,STEM-related Occupations:,"16,812","172,461",91.1,"42,418","42,756",100.8
"...Opticians, dispensing",STEM-related Occupations:,"20,313","51,318",71.6,"51,825","35,033",67.6
...Miscellaneous health technologists and technicians,STEM-related Occupations:,"52,785","95,549",64.4,"50,444","41,498",82.3
...Other healthcare practitioners and technical occupations,STEM-related Occupations:,"33,665","64,486",65.7,"61,136","52,462",85.8
.Total non-STEM Occupations,General,"72,368,965","64,944,346",47.3,"50,440","40,560",80.4
